Date,Open,High,Low,Close,Adj Close,Volume
01/09/2014,1.661,1.874,1.628,1.78,1.78,0
01/10/2014,1.747,1.768,1.118,1.613,1.613,0
01/11/2014,1.608,1.701,1.511,1.511,1.511,0
01/12/2014,1.469,1.791,1.454,1.653,1.653,0
01/01/2015,1.686,1.705,1.159,1.187,1.187,0
01/02/2015,1.189,1.636,1.168,1.505,1.505,0
01/03/2015,1.509,1.711,1.34,1.375,1.375,0
01/04/2015,1.341,1.507,1.26,1.442,1.442,0
01/05/2015,1.456,1.635,1.447,1.467,1.467,0
01/06/2015,1.492,1.809,1.471,1.628,1.628,0
01/07/2015,1.699,1.752,1.473,1.548,1.548,0
01/08/2015,1.552,1.671,1.292,1.484,1.484,0
01/09/2015,1.504,1.614,1.372,1.375,1.375,0
01/10/2015,1.365,1.558,1.215,1.528,1.528,0
01/11/2015,1.553,1.779,1.543,1.654,1.654,0
01/12/2015,1.666,1.829,1.568,1.758,1.758,0
01/01/2016,1.72,1.74,1.328,1.335,1.335,0
01/02/2016,1.343,1.383,1.008,1.22,1.22,0
01/03/2016,1.224,1.534,1.204,1.224,1.224,0
01/04/2016,1.213,1.405,1.137,1.279,1.279,0
01/05/2016,1.275,1.422,1.155,1.359,1.359,0
01/06/2016,1.357,1.39,0.985,1.011,1.011,0
01/07/2016,0.972,1.169,0.911,1.033,1.033,0
01/08/2016,1.056,1.241,1.017,1.18,1.18,0
01/09/2016,1.204,1.27,1.092,1.156,1.156,0
01/10/2016,1.159,1.368,1.157,1.313,1.313,0
01/11/2016,1.323,1.882,1.229,1.834,1.834,0
01/12/2016,1.872,2.119,1.796,1.889,1.889,0
01/01/2017,1.99,2.017,1.804,1.908,1.908,0
01/02/2017,1.949,2.02,1.794,1.88,1.88,0
01/03/2017,1.982,2.138,1.885,1.929,1.929,0
01/04/2017,1.906,1.926,1.706,1.816,1.816,0
01/05/2017,1.826,1.951,1.724,1.748,1.748,0
01/06/2017,1.778,1.885,1.673,1.885,1.885,0
01/07/2017,1.894,1.968,1.795,1.832,1.832,0
01/08/2017,1.847,1.857,1.672,1.707,1.707,0
01/09/2017,1.709,1.939,1.618,1.928,1.928,0
01/10/2017,1.939,2.089,1.898,2.01,2.01,0
01/11/2017,2.033,2.156,1.975,2.144,2.144,0
01/12/2017,2.124,2.261,2.068,2.206,2.206,0
01/01/2018,2.228,2.551,2.223,2.524,2.524,0
01/02/2018,2.544,2.682,2.461,2.65,2.65,0
01/03/2018,2.612,2.734,2.55,2.562,2.562,0
01/04/2018,2.587,2.852,2.535,2.789,2.789,0
01/05/2018,2.812,2.941,2.571,2.664,2.664,0
01/06/2018,2.738,2.869,2.695,2.731,2.731,0
01/07/2018,2.709,2.867,2.706,2.848,2.848,0
01/08/2018,2.872,2.887,2.692,2.735,2.735,0
01/09/2018,2.743,2.828,2.74,2.828,2.828,0
