Date,Open,High,Low,Close,Volume,Adj Close
2016-02-01,9.35,9.36,8.99,9.02,93906400,9.02
2016-01-04,11.26,11.42,7.92,9.65,66165700,9.65
2015-12-01,12.92,13.11,10.52,11.00,34342700,11.00
2015-11-02,14.69,15.45,12.81,12.93,26831900,12.93
2015-10-01,15.15,16.200001,13.61,14.81,28770100,14.81
2015-09-01,15.48,15.85,14.16,14.68,30398200,14.68
2015-08-03,15.29,16.15,12.37,15.89,36803500,15.89
2015-07-01,19.540001,19.58,15.54,15.59,25245500,15.59
2015-06-01,20.360001,20.799999,19.23,19.879999,15822900,19.879999
2015-05-01,20.299999,21.50,19.09,20.309999,23051500,20.309999
2015-04-01,17.00,20.549999,16.93,20.51,28374500,20.51
2015-03-02,18.129999,19.10,15.61,16.84,31064900,16.84
2015-02-02,18.40,20.290001,17.58,18.10,41031700,18.10
2015-01-02,19.969999,20.35,16.299999,17.82,35603400,17.82
2014-12-01,25.309999,26.389999,19.84,20.360001,23042900,20.360001
2014-11-03,30.51,30.719999,25.459999,25.58,12049500,25.58
2014-10-01,34.599998,34.98,30.16,30.629999,7873500,30.629999
2014-09-02,35.279999,35.759998,33.91,34.41,5177700,34.41
2014-08-01,36.119999,36.560001,34.580002,35.759998,3610600,35.759998
2014-07-01,39.02,39.119999,36.27,36.32,3707500,36.32
2014-06-02,37.52,39.439999,37.209999,38.880001,2275300,38.880001
2014-05-01,36.029999,38.27,35.959999,37.68,2036400,37.68
2014-04-01,36.450001,37.810001,35.630001,36.32,2905400,36.32
2014-03-03,37.389999,37.740002,34.970001,36.59,3253800,36.59
2014-02-03,34.799999,37.110001,34.360001,36.740002,3871400,36.740002
2014-01-02,34.689999,35.18,32.68,34.799999,5807900,34.799999
2013-12-02,33.470001,36.07,33.419998,35.32,5164100,35.32
2013-11-01,34.450001,34.450001,32.950001,33.459999,5674300,33.459999
2013-10-01,36.610001,37.59,34.59,34.689999,6249800,34.689999
2013-09-03,38.25,39.540001,36.400002,36.849998,6345100,36.849998
2013-08-01,38.099998,39.459999,36.349998,38.48,7181700,38.48
2013-07-01,34.610001,38.619999,34.459999,37.360001,6222200,37.360001
2013-06-03,32.93,35.060001,32.790001,34.18,5450800,34.18
2013-05-01,32.369999,34.59,32.119999,32.610001,6814900,32.610001
2013-04-01,34.43,34.860001,30.790001,33.16,6502700,33.16
2013-03-01,32.66,34.84,32.16,34.75,4439800,34.75
2013-02-01,35.02,35.52,32.959999,33.060001,5331200,33.060001
2013-01-02,34.00,35.529999,33.57,35.279999,4566600,35.279999
2012-12-03,33.040001,33.470001,31.219999,33.369999,4412800,33.369999
2012-11-01,31.85,32.93,31.00,32.560001,8165300,32.560001
2012-10-01,34.450001,34.700001,31.35,31.780001,9458000,31.780001
2012-09-04,35.959999,37.169998,32.98,34.119999,9542100,34.119999
2012-08-01,33.029999,36.450001,32.459999,35.889999,6922000,35.889999
2012-07-02,31.43,34.84,30.82,32.68,9328800,32.68
2012-06-01,31.700001,32.799999,29.02,31.83,11353700,31.83
2012-05-01,39.630001,40.290001,32.369999,32.610001,8360800,32.610001
2012-04-02,38.93,40.130001,38.310001,39.68,6023100,39.68
2012-03-01,41.139999,42.299999,38.869999,39.23,10749900,39.23
2012-02-01,38.130001,42.07,36.68,40.919998,10793500,40.919998
2012-01-03,39.240002,39.959999,37.490002,37.82,10765600,37.82
2011-12-01,38.66,39.50,35.73,38.110001,9716700,38.110001
2011-11-01,34.630001,39.740002,34.540001,38.779999,14171400,38.779999
2011-10-03,30.01,36.490002,29.10,35.740002,13381300,35.740002
2011-09-01,34.48,35.080002,30.23,30.49,12269800,30.49
2011-08-01,38.389999,38.470001,30.309999,34.509998,16667900,34.509998
2011-07-01,36.970001,39.25,36.66,37.419998,9259200,37.419998
2011-06-01,40.540001,40.560001,35.139999,37.240002,12709400,37.240002
2011-05-02,44.990002,45.599998,37.720001,40.50,20903000,40.50
2011-04-01,42.720001,45.349998,42.099998,45.150002,11142800,45.150002
2011-03-01,39.52,42.830002,39.150002,42.599998,19361200,42.599998
2011-02-01,38.669998,40.599998,35.209999,39.189999,19582500,39.189999
2011-01-03,39.34,39.48,35.93,38.610001,12310900,38.610001
2010-12-01,36.700001,39.25,36.200001,39.00,6583800,39.00
2010-11-01,36.139999,38.060001,34.549999,36.040001,10832200,36.040001
2010-10-01,35.349998,36.669998,34.560001,35.169998,8830900,35.169998
2010-09-01,32.470001,34.959999,32.200001,34.84,9431700,34.84
2010-08-02,36.18,37.150002,31.50,31.92,9843900,31.92
2010-07-01,33.630001,35.560001,32.27,35.34,9255300,35.34
2010-06-01,33.650002,36.040001,32.450001,33.959999,11437700,33.959999
2010-05-03,41.299999,41.900002,30.93,34.040001,20277300,34.040001
2010-04-01,41.009998,42.189999,39.290001,41.330002,10240800,41.330002
2010-03-01,39.049999,40.630001,38.02,40.290001,10647300,40.290001
2010-02-01,36.02,39.23,34.07,38.82,14552200,38.82
2010-01-04,40.040001,41.189999,35.50,35.639999,12800100,35.639999
